Date,Sleep,Rating,Miles,Location,Focus
4/7/22,9,5,2.75,Ohio,Psychology
4/8/22,8,6,2.5,Ohio,Community Work
4/9/22,8,5,3.75,Ohio,Stats
4/10/22,8,5,4,New York,Spanish
4/11/22,8,4,3,New York,Music
4/12/22,7,5,5.5,New York,Music
4/13/22,7,5,4.25,New York,Psychology
4/14/22,8,5,3.25,New York,Music
4/15/22,7,5,2.75,New York,Friends/Family
4/16/22,9,5,3,New York,Stats
4/17/22,4,5,1.25,New York,Stats
4/18/22,7,5,7,Ohio,Psychology
4/19/22,8,5,3,Ohio,Psychology
4/20/22,10,7,2.75,Ohio,Psychology
4/21/22,6,4,5,Ohio,Psychology
4/22/22,7,5,3.25,Ohio,Stats
4/23/22,7,5,6.25,Ohio,Psychology
4/24/22,8,4,3,Ohio,Stats
4/25/22,6,5,15,Ohio,Stats
4/26/22,5,4,4.25,Ohio,Psychology
4/27/22,8,6,3,Ohio,Woodworking
4/28/22,9,5,3,Ohio,Stats
4/29/22,8,6,11,Ohio,Friends/Family
4/30/22,8,5,2.75,Ohio,Psychology
5/1/22,3,4,3.25,Ohio,Stats
5/2/22,8,6,3.75,Ohio,Music
5/3/22,8,5,4,Ohio,Stats
5/4/22,8,5,3.5,Ohio,Chess
5/5/22,9,6,2,Ohio,Music
5/6/22,8,5,3.25,Ohio,Music
5/7/22,8,5,5.75,Ohio,Music
5/8/22,7,,3,Ohio,Projects
5/9/22,8,6,2.75,Ohio,Chess
5/10/22,9,5,3.25,Ohio,Stats
5/11/22,7,5,3,Ohio,Music
5/12/22,8,6,3.25,Ohio,Stats
5/13/22,7,5,1.25,Ohio,Music
5/14/22,8,5,6,Ohio,Psychology
5/15/22,7,5,3.25,Ohio,Music
5/16/22,8,6,4,Ohio,Friends/Family
5/17/22,8,5,2.75,Ohio,Psychology
5/18/22,9,7,3.25,Ohio,Stats
5/19/22,8,5,3.25,Ohio,Psychology
5/20/22,7,4,3.75,Ohio,Stats
5/21/22,7,6,2.5,Ohio,Tennis/Hiking
5/22/22,7,,3.25,Ohio,Psychology
5/23/22,8,4,3,Ohio,Stats
5/24/22,7,7,3.25,Ohio,Psychology
5/25/22,8,7,3,Ohio,Friends/Family
5/26/22,9,4,4.25,Ohio,Stats
5/27/22,8,6,3.25,Ohio,Psychology
5/28/22,9,6,10,Ohio,Psychology
5/29/22,8,4,3.5,Ohio,Tennis/Hiking
5/30/22,8,6,3,Ohio,Music
5/31/22,8,6,4,Ohio,Stats
6/1/22,8,5,3.25,Ohio,Projects
6/2/22,7,5,2,Ohio,Music
6/3/22,8,5,3,Ohio,Music
6/4/22,9,6,9,Ohio,Stats
6/5/22,8,8,3.25,Ohio,Psychology
